soil_temp,soil_phs,Plant_Type
21.0,5.5,Medicinal Plants
21.0,8.7,unknown
16.0,5.6,Leafy Greens and Root Vegetables
16.0,7.2,Stone Fruits
16.0,8.6,unknown
16.0,4.8,unknown
17.0,7.9,unknown
17.0,5.6,Leafy Greens and Root Vegetables
16.0,6.9,Legumes and Nitrogen-Fixers
16.0,5.5,Leafy Greens and Root Vegetables
17.0,5.3,unknown
17.0,6.5,Leafy Greens and Root Vegetables
17.0,6.8,Legumes and Nitrogen-Fixers
17.0,7.6,unknown
21.0,6.0,Legumes and Nitrogen-Fixers
21.0,5.1,unknown
21.0,7.7,Herbs and Aromatic Plants
22.0,4.5,unknown
23.0,8.2,unknown
19.0,5.0,unknown
24.0,6.4,Legumes and Nitrogen-Fixers
24.0,8.9,unknown
24.0,8.6,unknown
12.0,6.9,Cool-Season Grains
10.0,6.1,Leafy Greens and Root Vegetables
10.0,8.8,unknown
15.0,6.5,Leafy Greens and Root Vegetables
15.0,5.6,Leafy Greens and Root Vegetables
15.0,7.7,unknown
15.0,8.9,unknown
15.0,5.8,Leafy Greens and Root Vegetables
15.0,8.2,unknown
15.0,6.5,Leafy Greens and Root Vegetables
15.0,7.5,Stone Fruits
16.0,5.0,unknown
16.0,8.7,unknown
20.0,7.6,Herbs and Aromatic Plants
21.0,6.6,Warm-Season Fruits and Vegetables
17.0,7.9,unknown
17.0,6.0,Leafy Greens and Root Vegetables
17.0,6.0,Leafy Greens and Root Vegetables
16.0,5.1,unknown
16.0,8.3,unknown
18.0,7.0,Warm-Season Fruits and Vegetables
21.0,8.3,unknown
22.0,6.0,Legumes and Nitrogen-Fixers
23.0,8.9,unknown
25.0,7.8,Herbs and Aromatic Plants
26.0,5.8,Medicinal Plants
26.0,6.3,Tropical and Wetland Plants
23.0,9.0,unknown
20.0,8.4,unknown
20.0,8.0,Herbs and Aromatic Plants
15.0,5.4,Berries and Evergreens
14.0,7.6,unknown
20.0,7.1,Warm-Season Fruits and Vegetables
11.0,7.7,unknown
18.0,8.4,unknown
18.0,7.9,unknown
21.0,6.5,Warm-Season Fruits and Vegetables
25.0,8.8,Drought-Resistant Plants
25.0,7.0,Warm-Season Fruits and Vegetables
24.0,4.8,unknown
16.0,7.0,Legumes and Nitrogen-Fixers
21.0,7.0,Warm-Season Fruits and Vegetables
20.0,8.0,Herbs and Aromatic Plants
20.0,8.6,unknown
22.0,6.7,Warm-Season Fruits and Vegetables
16.0,6.0,Leafy Greens and Root Vegetables
24.0,6.9,Warm-Season Fruits and Vegetables
24.0,7.1,Warm-Season Fruits and Vegetables
20.0,8.1,unknown
19.0,5.5,Leafy Greens and Root Vegetables
17.0,9.0,unknown
17.0,8.4,unknown
17.0,5.2,unknown
25.0,5.3,unknown
25.0,5.9,Medicinal Plants
18.0,8.0,unknown
18.0,4.8,unknown
18.0,8.2,unknown
22.0,6.2,Legumes and Nitrogen-Fixers
23.0,5.1,unknown
20.0,5.2,unknown
22.0,6.2,Legumes and Nitrogen-Fixers
22.0,4.5,unknown
22.0,5.1,unknown
17.0,6.6,Legumes and Nitrogen-Fixers
17.0,7.3,Stone Fruits
17.0,6.3,Leafy Greens and Root Vegetables
25.0,5.2,unknown
25.0,8.8,Drought-Resistant Plants
20.0,6.4,Leafy Greens and Root Vegetables
20.0,5.0,unknown
20.0,8.1,unknown
25.0,4.7,unknown
25.0,5.0,unknown
25.0,5.8,Medicinal Plants
16.0,5.5,Leafy Greens and Root Vegetables
16.0,5.8,Leafy Greens and Root Vegetables
16.0,5.9,Leafy Greens and Root Vegetables
16.0,8.0,unknown
30.0,7.9,Herbs and Aromatic Plants
30.0,6.5,Tropical and Wetland Plants
30.0,6.7,Tropical and Wetland Plants
30.0,6.6,Tropical and Wetland Plants
30.0,7.0,Herbs and Aromatic Plants
23.0,5.8,Medicinal Plants
23.0,7.0,Warm-Season Fruits and Vegetables
24.0,8.4,unknown
24.0,5.5,Medicinal Plants
16.0,8.4,unknown
14.0,7.4,unknown
14.0,8.8,unknown
24.0,6.3,Legumes and Nitrogen-Fixers
24.0,7.3,Warm-Season Fruits and Vegetables
24.0,5.8,Medicinal Plants
28.0,6.7,Tropical and Wetland Plants
28.0,4.6,unknown
30.0,5.2,unknown
20.0,6.7,Warm-Season Fruits and Vegetables
17.0,4.8,unknown
17.0,6.0,Leafy Greens and Root Vegetables
18.0,5.0,unknown
18.0,8.1,unknown
21.0,7.6,Herbs and Aromatic Plants
28.0,5.1,unknown
28.0,8.1,Drought-Resistant Plants
28.0,5.6,Medicinal Plants
28.0,7.6,Herbs and Aromatic Plants
27.0,8.4,Drought-Resistant Plants
27.0,7.3,Herbs and Aromatic Plants
27.0,6.7,Tropical and Wetland Plants
27.0,9.0,Drought-Resistant Plants
27.0,5.0,unknown
30.0,7.0,Herbs and Aromatic Plants
30.0,8.4,Drought-Resistant Plants
30.0,4.6,unknown
30.0,8.5,Drought-Resistant Plants
30.0,7.6,Herbs and Aromatic Plants
30.0,8.2,Drought-Resistant Plants
29.0,6.9,Tropical and Wetland Plants
29.0,4.5,unknown
29.0,8.8,Drought-Resistant Plants
29.0,7.9,Herbs and Aromatic Plants
29.0,8.3,Drought-Resistant Plants
29.0,5.3,unknown
29.0,7.7,Herbs and Aromatic Plants
29.0,8.1,Drought-Resistant Plants
29.0,5.3,unknown
27.0,5.5,Medicinal Plants
27.0,6.5,Tropical and Wetland Plants
27.0,6.1,Tropical and Wetland Plants
27.0,5.7,Medicinal Plants
27.0,4.7,unknown
30.0,7.7,Herbs and Aromatic Plants
30.0,6.2,Tropical and Wetland Plants
30.0,5.9,unknown
31.0,6.9,unknown
31.0,5.1,unknown
31.0,6.8,unknown
27.0,6.3,Tropical and Wetland Plants
27.0,8.8,Drought-Resistant Plants
27.0,6.6,Tropical and Wetland Plants
27.0,7.5,Herbs and Aromatic Plants
27.0,4.9,unknown
27.0,5.2,unknown
25.0,6.2,Tropical and Wetland Plants
25.0,6.7,Warm-Season Fruits and Vegetables
25.0,6.9,Warm-Season Fruits and Vegetables
27.0,7.3,Herbs and Aromatic Plants
27.0,5.2,unknown
23.0,7.8,Herbs and Aromatic Plants
23.0,8.6,unknown
28.0,5.9,Medicinal Plants
27.0,6.4,Tropical and Wetland Plants
27.0,5.4,unknown
27.0,7.6,Herbs and Aromatic Plants
27.0,6.2,Tropical and Wetland Plants
24.0,6.8,Warm-Season Fruits and Vegetables
25.0,5.9,Medicinal Plants
25.0,5.9,Medicinal Plants
25.0,7.1,Warm-Season Fruits and Vegetables
23.0,7.6,Herbs and Aromatic Plants
26.0,5.9,Medicinal Plants
29.0,6.0,Tropical and Wetland Plants
29.0,8.1,Drought-Resistant Plants
29.0,8.4,Drought-Resistant Plants
29.0,6.2,Tropical and Wetland Plants
29.0,7.8,Herbs and Aromatic Plants
30.0,6.1,Tropical and Wetland Plants
29.0,6.1,Tropical and Wetland Plants
28.0,4.6,unknown
24.0,7.8,Herbs and Aromatic Plants
24.0,6.7,Warm-Season Fruits and Vegetables
30.0,4.9,unknown
30.0,6.8,Tropical and Wetland Plants
27.0,5.4,unknown
27.0,5.4,unknown
27.0,8.0,Herbs and Aromatic Plants
30.0,6.4,Tropical and Wetland Plants
30.0,5.2,unknown
30.0,5.6,unknown
30.0,5.7,unknown
31.0,5.4,unknown
34.0,5.4,unknown
34.0,8.5,Drought-Resistant Plants
34.0,4.7,unknown
29.0,5.7,unknown
28.0,6.0,Tropical and Wetland Plants
28.0,7.2,Herbs and Aromatic Plants
28.0,5.1,unknown
28.0,6.7,Tropical and Wetland Plants
28.0,7.7,Herbs and Aromatic Plants
28.0,7.8,Herbs and Aromatic Plants
28.0,8.8,Drought-Resistant Plants
31.0,6.0,unknown
31.0,7.6,Drought-Resistant Plants
32.0,7.3,unknown
32.0,5.5,unknown
34.0,6.9,unknown
34.0,4.9,unknown
34.0,7.7,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
34.0,5.6,unknown
34.0,5.5,unknown
33.0,8.7,Drought-Resistant Plants
33.0,6.7,unknown
33.0,8.6,Drought-Resistant Plants
34.0,6.3,unknown
34.0,4.5,unknown
33.0,5.2,unknown
34.0,8.1,Drought-Resistant Plants
33.0,8.5,Drought-Resistant Plants
34.0,8.6,Drought-Resistant Plants
34.0,8.1,Drought-Resistant Plants
35.0,6.0,unknown
35.0,5.8,unknown
35.0,6.1,unknown
32.0,7.4,unknown
32.0,8.4,Drought-Resistant Plants
35.0,4.9,unknown
35.0,8.4,Drought-Resistant Plants
31.0,8.6,Drought-Resistant Plants
31.0,7.0,unknown
32.0,7.8,Drought-Resistant Plants
32.0,6.2,unknown
36.0,6.3,unknown
36.0,7.1,unknown
34.0,5.7,unknown
34.0,6.4,unknown
34.0,7.4,unknown
34.0,8.6,Drought-Resistant Plants
34.0,5.8,unknown
34.0,5.2,unknown
34.0,6.0,unknown
34.0,6.0,unknown
33.0,7.4,unknown
33.0,8.1,Drought-Resistant Plants
33.0,5.3,unknown
36.0,8.1,unknown
36.0,4.6,unknown
36.0,8.8,unknown
35.0,8.0,Drought-Resistant Plants
36.0,4.7,unknown
37.0,5.7,unknown
37.0,7.7,unknown
36.0,5.3,unknown
36.0,7.3,unknown
37.0,4.8,unknown
37.0,6.1,unknown
37.0,8.0,unknown
37.0,6.7,unknown
35.0,8.7,Drought-Resistant Plants
35.0,7.1,unknown
32.0,8.6,Drought-Resistant Plants
32.0,4.5,unknown
32.0,7.8,Drought-Resistant Plants
31.0,8.4,Drought-Resistant Plants
31.0,6.3,unknown
31.0,6.7,unknown
35.0,7.5,Drought-Resistant Plants
35.0,5.5,unknown
38.0,8.0,unknown
38.0,7.7,unknown
38.0,5.1,unknown
37.0,6.7,unknown
37.0,8.9,unknown
37.0,7.3,unknown
37.0,8.4,unknown
35.0,7.4,unknown
35.0,5.0,unknown
34.0,4.8,unknown
34.0,8.3,Drought-Resistant Plants
35.0,6.9,unknown
35.0,5.5,unknown
35.0,7.0,unknown
36.0,4.7,unknown
36.0,7.3,unknown
38.0,7.7,unknown
38.0,5.0,unknown
38.0,8.0,unknown
34.0,6.4,unknown
34.0,8.8,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
34.0,5.9,unknown
34.0,7.5,Drought-Resistant Plants
34.0,4.9,unknown
34.0,4.7,unknown
34.0,8.7,Drought-Resistant Plants
34.0,6.0,unknown
34.0,7.9,Drought-Resistant Plants
35.0,5.3,unknown
35.0,8.1,Drought-Resistant Plants
35.0,8.0,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
34.0,6.0,unknown
34.0,5.5,unknown
34.0,7.2,unknown
36.0,7.7,unknown
36.0,8.6,unknown
36.0,5.8,unknown
34.0,5.0,unknown
34.0,5.4,unknown
34.0,8.4,Drought-Resistant Plants
31.0,5.4,unknown
31.0,4.8,unknown
31.0,7.3,unknown
33.0,6.6,unknown
32.0,5.8,unknown
32.0,6.9,unknown
32.0,5.9,unknown
32.0,7.2,unknown
32.0,6.8,unknown
31.0,4.8,unknown
31.0,7.7,Drought-Resistant Plants
31.0,8.2,Drought-Resistant Plants
31.0,5.8,unknown
29.0,4.7,unknown
28.0,8.4,Drought-Resistant Plants
34.2,7.5,Drought-Resistant Plants
34.1,5.1,unknown
35.1,6.8,unknown
35.2,6.0,unknown
35.0,5.4,unknown
34.3,6.8,unknown
34.2,6.6,unknown
35.3,6.0,unknown
35.1,7.3,unknown
35.3,7.6,unknown
35.2,8.5,unknown
36.1,7.1,unknown
35.3,7.5,unknown
35.2,7.1,unknown
34.0,4.8,unknown
34.2,6.5,unknown
32.3,6.4,unknown
32.1,5.2,unknown
32.1,7.1,unknown
32.3,7.8,Drought-Resistant Plants
32.1,6.2,unknown
32.2,5.8,unknown
32.0,7.9,Drought-Resistant Plants
32.3,7.1,unknown
32.1,5.1,unknown
32.3,7.1,unknown
32.1,8.0,Drought-Resistant Plants
32.1,8.5,Drought-Resistant Plants
32.3,8.6,Drought-Resistant Plants
32.1,6.0,unknown
32.3,6.4,unknown
32.2,7.7,Drought-Resistant Plants
31.2,5.8,unknown
31.0,5.1,unknown
31.0,5.1,unknown
32.2,5.2,unknown
32.0,7.3,unknown
32.2,8.4,Drought-Resistant Plants
32.0,8.9,Drought-Resistant Plants
31.3,5.8,unknown
31.2,7.5,Drought-Resistant Plants
32.1,5.8,unknown
17.1,7.0,Legumes and Nitrogen-Fixers
32.2,7.4,unknown
32.0,7.4,unknown
32.3,6.2,unknown
32.2,6.0,unknown
31.3,5.0,unknown
31.2,6.4,unknown
31.0,5.4,unknown
31.2,6.6,unknown
31.0,8.7,Drought-Resistant Plants
28.3,5.4,unknown
28.1,7.0,Herbs and Aromatic Plants
31.2,8.6,Drought-Resistant Plants
31.0,6.0,unknown
31.1,4.6,unknown
28.3,7.4,Herbs and Aromatic Plants
28.1,5.2,unknown
30.3,8.8,Drought-Resistant Plants
30.1,5.7,unknown
31.3,8.2,Drought-Resistant Plants
31.1,7.6,Drought-Resistant Plants
31.1,4.6,unknown
30.3,5.6,unknown
30.1,8.2,Drought-Resistant Plants
30.3,6.5,unknown
30.1,7.3,unknown
30.3,4.6,unknown
30.1,7.0,unknown
31.3,6.1,unknown
31.3,5.3,unknown
31.1,5.4,unknown
31.3,4.6,unknown
31.1,5.1,unknown
30.3,7.8,Drought-Resistant Plants
30.1,8.2,Drought-Resistant Plants
30.1,4.6,unknown
30.3,6.1,unknown
30.1,4.6,unknown
31.3,9.0,Drought-Resistant Plants
31.1,6.2,unknown
31.3,7.7,Drought-Resistant Plants
31.1,7.0,unknown
31.3,6.6,unknown
31.1,8.1,Drought-Resistant Plants
32.3,7.4,unknown
32.1,7.3,unknown
32.1,4.5,unknown
29.3,8.7,Drought-Resistant Plants
29.1,6.2,Tropical and Wetland Plants
31.3,5.7,unknown
31.1,6.4,unknown
31.3,7.9,Drought-Resistant Plants
31.1,8.5,Drought-Resistant Plants
32.3,8.3,Drought-Resistant Plants
32.1,8.4,Drought-Resistant Plants
31.3,6.0,unknown
31.1,5.0,unknown
30.3,8.3,Drought-Resistant Plants
30.1,5.7,unknown
31.3,5.3,unknown
31.1,7.3,unknown
31.1,8.4,Drought-Resistant Plants
32.3,4.7,unknown
32.1,6.9,unknown
32.3,7.8,Drought-Resistant Plants
32.1,5.9,unknown
32.3,8.1,Drought-Resistant Plants
32.1,6.3,unknown
30.3,6.4,unknown
30.1,5.7,unknown
31.3,6.1,unknown
31.2,5.9,unknown
32.3,7.5,Drought-Resistant Plants
32.1,7.9,Drought-Resistant Plants
31.3,8.8,Drought-Resistant Plants
31.1,6.5,unknown
32.1,5.8,unknown
32.3,6.5,unknown
32.1,6.5,unknown
31.3,8.0,Drought-Resistant Plants
31.1,8.3,Drought-Resistant Plants
29.3,4.8,unknown
29.1,5.6,unknown
31.3,7.4,unknown
31.1,6.8,unknown
32.3,5.9,unknown
32.1,6.7,unknown
32.1,7.0,unknown
32.3,5.6,unknown
32.1,6.9,unknown
32.3,4.7,unknown
32.1,6.8,unknown
32.3,8.6,Drought-Resistant Plants
32.1,4.8,unknown
32.3,8.1,Drought-Resistant Plants
32.1,4.8,unknown
32.3,6.6,unknown
32.1,4.7,unknown
33.3,6.5,unknown
33.1,6.9,unknown
30.1,5.2,unknown
30.3,6.9,unknown
30.1,7.0,unknown
31.3,6.0,unknown
31.1,6.0,unknown
32.3,8.5,Drought-Resistant Plants
32.1,6.1,unknown
33.3,7.1,unknown
33.1,7.4,unknown
32.3,8.3,Drought-Resistant Plants
32.1,8.4,Drought-Resistant Plants
33.3,7.8,Drought-Resistant Plants
33.1,7.6,Drought-Resistant Plants
32.3,6.6,unknown
32.1,7.4,unknown
32.1,7.2,unknown
32.3,8.3,Drought-Resistant Plants
32.1,4.6,unknown
33.3,8.8,Drought-Resistant Plants
33.1,8.7,Drought-Resistant Plants
33.3,8.5,Drought-Resistant Plants
33.1,5.6,unknown
33.3,6.1,unknown
33.1,6.0,unknown
34.3,7.3,unknown
34.1,5.2,unknown
33.1,8.3,Drought-Resistant Plants
33.3,5.9,unknown
33.1,5.6,unknown
32.3,5.9,unknown
32.1,7.3,unknown
33.3,7.5,Drought-Resistant Plants
33.1,4.7,unknown
33.3,5.2,unknown
33.1,8.7,Drought-Resistant Plants
33.3,4.8,unknown
33.1,7.4,unknown
33.3,8.4,Drought-Resistant Plants
33.1,7.7,Drought-Resistant Plants
34.3,5.6,unknown
34.1,6.3,unknown
34.1,5.6,unknown
33.3,6.0,unknown
33.1,6.6,unknown
33.3,6.0,unknown
33.1,5.5,unknown
33.3,5.8,unknown
33.1,6.9,unknown
33.3,8.9,Drought-Resistant Plants
33.1,8.9,Drought-Resistant Plants
33.3,5.5,unknown
33.1,5.7,unknown
32.3,5.9,unknown
32.1,4.6,unknown
32.1,8.7,Drought-Resistant Plants
32.3,6.4,unknown
32.1,5.1,unknown
33.3,5.6,unknown
33.1,5.0,unknown
34.3,4.7,unknown
34.1,7.8,Drought-Resistant Plants
35.3,6.7,unknown
35.1,5.2,unknown
36.3,7.5,unknown
36.1,8.5,unknown
36.1,8.6,unknown
36.3,7.7,unknown
36.1,5.7,unknown
34.3,5.7,unknown
34.1,6.9,unknown
34.3,7.9,Drought-Resistant Plants
34.1,7.3,unknown
33.3,5.2,unknown
33.1,6.0,unknown
31.3,7.1,unknown
31.1,8.6,Drought-Resistant Plants
36.3,7.4,unknown
36.1,4.8,unknown
36.1,8.0,unknown
36.3,5.9,unknown
36.1,7.6,unknown
39.3,6.9,unknown
39.1,6.0,unknown
36.3,6.7,unknown
36.1,8.7,unknown
36.3,5.4,unknown
36.1,6.5,unknown
37.3,5.1,unknown
37.1,5.4,unknown
39.3,7.6,unknown
39.1,5.7,unknown
39.3,6.4,unknown
39.1,8.8,unknown
41.1,5.1,unknown
41.3,4.9,unknown
41.1,7.3,unknown
40.3,5.1,unknown
40.1,7.9,unknown
39.3,5.6,unknown
39.1,4.7,unknown
38.3,4.7,unknown
38.1,6.3,unknown
37.3,8.0,unknown
37.1,5.7,unknown
38.3,7.7,unknown
38.1,8.6,unknown
39.3,6.2,unknown
39.1,5.7,unknown
39.1,9.0,unknown
37.3,4.7,unknown
37.1,4.9,unknown
38.3,5.6,unknown
38.1,6.9,unknown
40.3,5.8,unknown
40.1,8.3,unknown
40.3,8.2,unknown
40.1,4.7,unknown
39.3,7.0,unknown
39.1,6.5,unknown
40.3,7.1,unknown
40.1,8.0,unknown
40.1,7.6,unknown
40.3,7.2,unknown
40.1,5.3,unknown
39.3,5.0,unknown
39.1,6.0,unknown
38.3,5.7,unknown
38.1,5.2,unknown
38.3,7.4,unknown
38.1,7.7,unknown
37.3,6.2,unknown
37.1,6.0,unknown
37.1,5.9,unknown
37.3,6.2,unknown
37.1,8.7,unknown
40.3,6.3,unknown
40.1,8.1,unknown
38.3,7.2,unknown
38.1,5.3,unknown
37.3,7.6,unknown
37.1,8.9,unknown
37.3,4.7,unknown
37.1,8.7,unknown
38.3,8.8,unknown
38.1,6.8,unknown
38.1,5.6,unknown
38.3,4.7,unknown
38.1,6.9,unknown
36.3,4.9,unknown
36.1,7.0,unknown
37.3,7.8,unknown
37.1,5.5,unknown
39.3,7.1,unknown
39.1,6.1,unknown
40.3,5.5,unknown
40.1,7.5,unknown
38.3,5.3,unknown
38.1,6.4,unknown
40.1,8.1,unknown
40.3,6.4,unknown
40.1,8.0,unknown
42.3,5.8,unknown
42.1,6.2,unknown
41.3,7.1,unknown
41.1,6.9,unknown
38.3,4.7,unknown
38.1,8.7,unknown
38.3,7.8,unknown
38.1,7.8,unknown
38.3,8.4,unknown
38.1,5.5,unknown
39.3,7.0,unknown
39.1,5.6,unknown
39.1,6.0,unknown
38.3,6.5,unknown
38.1,4.8,unknown
38.3,7.6,unknown
38.1,8.5,unknown
39.3,6.2,unknown
39.1,4.9,unknown
42.3,6.6,unknown
42.1,7.5,unknown
42.3,8.8,unknown
42.1,8.3,unknown
42.1,8.6,unknown
42.3,8.4,unknown
42.1,7.9,unknown
40.3,5.1,unknown
40.1,6.2,unknown
40.3,8.2,unknown
40.1,6.7,unknown
40.3,8.8,unknown
40.1,7.5,unknown
40.3,7.4,unknown
40.1,6.8,unknown
41.3,4.6,unknown
41.1,5.8,unknown
41.3,8.0,unknown
41.3,5.8,unknown
41.1,5.6,unknown
40.3,5.0,unknown
40.1,7.1,unknown
38.3,7.4,unknown
38.1,5.4,unknown
38.3,4.9,unknown
38.1,4.7,unknown
38.3,4.9,unknown
38.1,5.9,unknown
38.3,7.9,unknown
38.1,4.6,unknown
40.1,7.6,unknown
40.3,5.5,unknown
40.1,5.0,unknown
40.3,8.4,unknown
40.1,6.6,unknown
40.3,7.1,unknown
40.1,6.1,unknown
40.3,5.8,unknown
40.1,6.3,unknown
41.3,7.2,unknown
41.1,5.2,unknown
40.3,5.8,unknown
40.1,9.0,unknown
40.3,6.1,unknown
40.1,5.0,unknown
39.3,5.1,unknown
39.1,8.3,unknown
39.1,7.5,unknown
39.3,7.6,unknown
39.1,9.0,unknown
40.3,6.8,unknown
40.1,9.0,unknown
40.3,6.3,unknown
40.1,8.8,unknown
39.3,6.2,unknown
39.1,7.6,unknown
40.3,8.2,unknown
40.1,7.7,unknown
40.1,8.8,unknown
40.3,5.7,unknown
40.1,6.4,unknown
40.3,7.8,unknown
40.1,7.2,unknown
41.3,5.3,unknown
41.1,6.9,unknown
41.3,7.2,unknown
41.1,5.2,unknown
40.3,5.3,unknown
40.1,5.7,unknown
40.3,7.3,unknown
40.1,8.2,unknown
38.3,5.0,unknown
38.1,8.5,unknown
38.1,8.0,unknown
40.3,6.0,unknown
40.1,6.5,unknown
41.3,5.5,unknown
41.1,7.6,unknown
39.3,7.1,unknown
39.1,7.1,unknown
40.3,7.2,unknown
40.1,6.5,unknown
39.3,6.2,unknown
39.1,6.5,unknown
40.3,8.9,unknown
40.1,6.5,unknown
40.1,7.1,unknown
40.3,5.9,unknown
40.1,5.5,unknown
40.3,5.9,unknown
40.1,7.5,unknown
39.3,7.5,unknown
39.1,8.2,unknown
40.3,5.6,unknown
40.1,5.7,unknown
40.3,7.2,unknown
40.1,8.1,unknown
40.3,5.1,unknown
40.1,6.2,unknown
40.1,6.1,unknown
41.3,6.2,unknown
41.1,5.6,unknown
40.3,6.8,unknown
40.1,5.9,unknown
39.3,6.9,unknown
39.1,5.0,unknown
38.3,5.6,unknown
38.1,6.8,unknown
40.3,6.4,unknown
40.1,6.6,unknown
40.1,6.6,unknown
40.1,4.6,unknown
40.3,5.7,unknown
39.3,8.2,unknown
39.1,7.7,unknown
38.3,5.6,unknown
38.1,7.9,unknown
37.3,7.2,unknown
37.1,4.8,unknown
37.3,6.7,unknown
37.1,7.0,unknown
37.1,6.4,unknown
37.3,5.9,unknown
37.1,6.6,unknown
36.3,7.0,unknown
36.1,4.7,unknown
35.3,7.6,unknown
35.1,6.9,unknown
32.3,5.3,unknown
32.1,5.7,unknown
36.3,5.3,unknown
36.1,4.8,unknown
38.3,5.5,unknown
38.1,7.4,unknown
38.1,4.8,unknown
38.3,5.9,unknown
38.1,7.0,unknown
