soil_temp,soil_phs,Plant_Type
24.0,7.8,Herbs and Aromatic Plants
24.0,6.7,Warm-Season Fruits and Vegetables
30.0,6.8,Tropical and Wetland Plants
27.0,8.0,Herbs and Aromatic Plants
30.0,6.4,Tropical and Wetland Plants
34.0,8.5,Drought-Resistant Plants
28.0,6.0,Tropical and Wetland Plants
28.0,7.2,Herbs and Aromatic Plants
28.0,6.7,Tropical and Wetland Plants
28.0,7.7,Herbs and Aromatic Plants
28.0,7.8,Herbs and Aromatic Plants
28.0,8.8,Drought-Resistant Plants
31.0,7.6,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
33.0,8.7,Drought-Resistant Plants
33.0,8.6,Drought-Resistant Plants
34.0,8.1,Drought-Resistant Plants
33.0,8.5,Drought-Resistant Plants
34.0,8.6,Drought-Resistant Plants
34.0,8.1,Drought-Resistant Plants
32.0,8.4,Drought-Resistant Plants
35.0,8.4,Drought-Resistant Plants
31.0,8.6,Drought-Resistant Plants
32.0,7.8,Drought-Resistant Plants
34.0,8.6,Drought-Resistant Plants
33.0,8.1,Drought-Resistant Plants
35.0,8.0,Drought-Resistant Plants
35.0,8.7,Drought-Resistant Plants
32.0,8.6,Drought-Resistant Plants
32.0,7.8,Drought-Resistant Plants
31.0,8.4,Drought-Resistant Plants
35.0,7.5,Drought-Resistant Plants
34.0,8.3,Drought-Resistant Plants
34.0,8.8,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
34.0,7.5,Drought-Resistant Plants
34.0,8.7,Drought-Resistant Plants
34.0,7.9,Drought-Resistant Plants
35.0,8.1,Drought-Resistant Plants
35.0,8.0,Drought-Resistant Plants
34.0,7.7,Drought-Resistant Plants
34.0,8.4,Drought-Resistant Plants
31.0,7.7,Drought-Resistant Plants
31.0,8.2,Drought-Resistant Plants
28.0,8.4,Drought-Resistant Plants
34.2,7.5,Drought-Resistant Plants
32.3,7.8,Drought-Resistant Plants
32.0,7.9,Drought-Resistant Plants
32.1,8.0,Drought-Resistant Plants
32.1,8.5,Drought-Resistant Plants
32.3,8.6,Drought-Resistant Plants
32.2,7.7,Drought-Resistant Plants
32.2,8.4,Drought-Resistant Plants
32.0,8.9,Drought-Resistant Plants
31.2,7.5,Drought-Resistant Plants
17.1,7.0,Legumes and Nitrogen-Fixers
31.0,8.7,Drought-Resistant Plants
28.1,7.0,Herbs and Aromatic Plants
31.2,8.6,Drought-Resistant Plants
28.3,7.4,Herbs and Aromatic Plants
30.3,8.8,Drought-Resistant Plants
31.3,8.2,Drought-Resistant Plants
31.1,7.6,Drought-Resistant Plants
30.1,8.2,Drought-Resistant Plants
30.3,7.8,Drought-Resistant Plants
30.1,8.2,Drought-Resistant Plants
31.3,9.0,Drought-Resistant Plants
31.3,7.7,Drought-Resistant Plants
31.1,8.1,Drought-Resistant Plants
29.3,8.7,Drought-Resistant Plants
29.1,6.2,Tropical and Wetland Plants
31.3,7.9,Drought-Resistant Plants
31.1,8.5,Drought-Resistant Plants
32.3,8.3,Drought-Resistant Plants
32.1,8.4,Drought-Resistant Plants
30.3,8.3,Drought-Resistant Plants
31.1,8.4,Drought-Resistant Plants
32.3,7.8,Drought-Resistant Plants
32.3,8.1,Drought-Resistant Plants
32.3,7.5,Drought-Resistant Plants
32.1,7.9,Drought-Resistant Plants
31.3,8.8,Drought-Resistant Plants
31.3,8.0,Drought-Resistant Plants
31.1,8.3,Drought-Resistant Plants
32.3,8.6,Drought-Resistant Plants
32.3,8.1,Drought-Resistant Plants
32.3,8.5,Drought-Resistant Plants
32.3,8.3,Drought-Resistant Plants
32.1,8.4,Drought-Resistant Plants
33.3,7.8,Drought-Resistant Plants
33.1,7.6,Drought-Resistant Plants
32.3,8.3,Drought-Resistant Plants
33.3,8.8,Drought-Resistant Plants
33.1,8.7,Drought-Resistant Plants
33.3,8.5,Drought-Resistant Plants
33.1,8.3,Drought-Resistant Plants
33.3,7.5,Drought-Resistant Plants
33.1,8.7,Drought-Resistant Plants
33.3,8.4,Drought-Resistant Plants
33.1,7.7,Drought-Resistant Plants
33.3,8.9,Drought-Resistant Plants
33.1,8.9,Drought-Resistant Plants
32.1,8.7,Drought-Resistant Plants
34.1,7.8,Drought-Resistant Plants
34.3,7.9,Drought-Resistant Plants
31.1,8.6,Drought-Resistant Plants
32.1,8.3,Drought-Resistant Plants
34.1,7.5,Drought-Resistant Plants
34.1,7.9,Drought-Resistant Plants
34.3,8.0,Drought-Resistant Plants
34.1,8.3,Drought-Resistant Plants
34.3,8.3,Drought-Resistant Plants
34.1,7.8,Drought-Resistant Plants
34.3,8.9,Drought-Resistant Plants
34.1,8.6,Drought-Resistant Plants
34.3,8.7,Drought-Resistant Plants
34.1,8.9,Drought-Resistant Plants
34.1,7.9,Drought-Resistant Plants
34.3,8.0,Drought-Resistant Plants
34.3,8.0,Drought-Resistant Plants
34.3,7.8,Drought-Resistant Plants
33.1,8.1,Drought-Resistant Plants
33.1,8.1,Drought-Resistant Plants
32.1,8.3,Drought-Resistant Plants
33.3,8.0,Drought-Resistant Plants
33.3,8.5,Drought-Resistant Plants
32.3,7.9,Drought-Resistant Plants
32.3,7.9,Drought-Resistant Plants
32.1,7.5,Drought-Resistant Plants
32.3,7.9,Drought-Resistant Plants
31.3,7.7,Drought-Resistant Plants
31.1,8.9,Drought-Resistant Plants
32.3,7.7,Drought-Resistant Plants
32.1,9.0,Drought-Resistant Plants
29.3,6.6,Tropical and Wetland Plants
29.1,7.1,Herbs and Aromatic Plants
29.1,7.2,Herbs and Aromatic Plants
31.3,8.5,Drought-Resistant Plants
31.1,7.7,Drought-Resistant Plants
31.1,7.7,Drought-Resistant Plants
31.1,7.6,Drought-Resistant Plants
31.3,8.2,Drought-Resistant Plants
31.3,8.8,Drought-Resistant Plants
31.1,7.9,Drought-Resistant Plants
30.3,8.8,Drought-Resistant Plants
27.3,8.4,Drought-Resistant Plants
28.3,8.6,Drought-Resistant Plants
28.1,7.3,Herbs and Aromatic Plants
29.3,6.2,Tropical and Wetland Plants
31.3,8.6,Drought-Resistant Plants
31.1,8.8,Drought-Resistant Plants
31.1,8.4,Drought-Resistant Plants
30.1,8.1,Drought-Resistant Plants
30.1,7.5,Drought-Resistant Plants
29.3,7.1,Herbs and Aromatic Plants
29.1,7.9,Herbs and Aromatic Plants
30.3,8.5,Drought-Resistant Plants
30.3,8.4,Drought-Resistant Plants
30.1,7.8,Drought-Resistant Plants
30.3,8.5,Drought-Resistant Plants
30.1,8.2,Drought-Resistant Plants
31.3,8.4,Drought-Resistant Plants
31.1,8.2,Drought-Resistant Plants
31.3,7.5,Drought-Resistant Plants
31.1,7.7,Drought-Resistant Plants
31.1,8.3,Drought-Resistant Plants
31.1,8.0,Drought-Resistant Plants
31.1,8.0,Drought-Resistant Plants
31.3,8.4,Drought-Resistant Plants
31.1,9.0,Drought-Resistant Plants
31.1,8.3,Drought-Resistant Plants
30.3,8.2,Drought-Resistant Plants
30.1,8.6,Drought-Resistant Plants
31.3,7.9,Drought-Resistant Plants
32.1,8.0,Drought-Resistant Plants
32.3,8.7,Drought-Resistant Plants
31.3,8.8,Drought-Resistant Plants
31.1,8.1,Drought-Resistant Plants
31.3,8.4,Drought-Resistant Plants
31.3,8.6,Drought-Resistant Plants
31.1,8.0,Drought-Resistant Plants
32.1,8.0,Drought-Resistant Plants
32.1,8.9,Drought-Resistant Plants
32.3,8.0,Drought-Resistant Plants
33.1,7.5,Drought-Resistant Plants
32.3,8.3,Drought-Resistant Plants
31.3,8.3,Drought-Resistant Plants
31.1,8.5,Drought-Resistant Plants
31.3,8.9,Drought-Resistant Plants
32.3,7.8,Drought-Resistant Plants
31.3,8.1,Drought-Resistant Plants
32.3,7.6,Drought-Resistant Plants
32.1,7.7,Drought-Resistant Plants
31.3,8.6,Drought-Resistant Plants
31.1,8.1,Drought-Resistant Plants
31.3,8.2,Drought-Resistant Plants
32.3,8.5,Drought-Resistant Plants
32.1,8.2,Drought-Resistant Plants
32.1,7.7,Drought-Resistant Plants
33.3,8.2,Drought-Resistant Plants
33.1,8.0,Drought-Resistant Plants
33.1,8.9,Drought-Resistant Plants
32.3,8.6,Drought-Resistant Plants
32.4,8.0,Drought-Resistant Plants
32.1,7.5,Drought-Resistant Plants
28.3,6.7,Tropical and Wetland Plants
28.1,7.9,Herbs and Aromatic Plants
28.1,8.3,Drought-Resistant Plants
32.1,8.0,Drought-Resistant Plants
32.3,8.7,Drought-Resistant Plants
32.3,8.8,Drought-Resistant Plants
32.1,8.9,Drought-Resistant Plants
32.3,7.7,Drought-Resistant Plants
32.1,7.6,Drought-Resistant Plants
33.3,7.6,Drought-Resistant Plants
33.3,8.0,Drought-Resistant Plants
32.3,7.8,Drought-Resistant Plants
31.1,7.9,Drought-Resistant Plants
34.3,9.0,Drought-Resistant Plants
34.1,8.6,Drought-Resistant Plants
34.1,7.5,Drought-Resistant Plants
24.1,5.5,Medicinal Plants
34.3,7.6,Drought-Resistant Plants
34.3,8.4,Drought-Resistant Plants
34.1,8.0,Drought-Resistant Plants
29.1,8.8,Drought-Resistant Plants
27.6,7.0,Herbs and Aromatic Plants
13.3,4.7,Berries and Evergreens
17.7,7.4,Stone Fruits
16.5,5.6,Leafy Greens and Root Vegetables
10.0,6.1,Leafy Greens and Root Vegetables
11.0,6.3,Leafy Greens and Root Vegetables
22.1,6.6,Warm-Season Fruits and Vegetables
27.0,7.3,Herbs and Aromatic Plants
14.6,6.5,Leafy Greens and Root Vegetables
35.0,8.2,Drought-Resistant Plants
27.0,7.5,Herbs and Aromatic Plants
10.5,6.9,Cool-Season Grains
35.0,8.5,Drought-Resistant Plants
23.6,6.9,Warm-Season Fruits and Vegetables
28.7,6.6,Tropical and Wetland Plants
32.1,7.8,Drought-Resistant Plants
24.8,7.9,Herbs and Aromatic Plants
30.3,8.9,Drought-Resistant Plants
30.0,7.6,Herbs and Aromatic Plants
32.3,8.5,Drought-Resistant Plants
24.9,6.6,Warm-Season Fruits and Vegetables
31.3,8.6,Drought-Resistant Plants
31.1,8.3,Drought-Resistant Plants
31.0,8.1,Drought-Resistant Plants
33.1,8.0,Drought-Resistant Plants
13.6,6.2,Leafy Greens and Root Vegetables
20.4,5.8,Medicinal Plants
34.3,8.2,Drought-Resistant Plants
34.1,7.8,Drought-Resistant Plants
24.6,6.5,Warm-Season Fruits and Vegetables
25.6,8.7,Drought-Resistant Plants
34.3,8.7,Drought-Resistant Plants
12.1,6.2,Leafy Greens and Root Vegetables
34.3,7.9,Drought-Resistant Plants
15.3,7.2,Stone Fruits
25.1,7.5,Herbs and Aromatic Plants
34.3,7.7,Drought-Resistant Plants
34.1,7.6,Drought-Resistant Plants
25.5,8.7,Drought-Resistant Plants
32.1,7.9,Drought-Resistant Plants
23.1,6.1,Legumes and Nitrogen-Fixers
34.1,8.3,Drought-Resistant Plants
14.2,5.7,Leafy Greens and Root Vegetables
15.1,6.6,Legumes and Nitrogen-Fixers
34.1,9.0,Drought-Resistant Plants
22.8,6.2,Legumes and Nitrogen-Fixers
34.3,7.9,Drought-Resistant Plants
21.1,6.1,Legumes and Nitrogen-Fixers
34.1,8.7,Drought-Resistant Plants
34.3,8.9,Drought-Resistant Plants
13.0,5.7,Leafy Greens and Root Vegetables
34.1,7.9,Drought-Resistant Plants
10.8,5.3,Berries and Evergreens
32.3,8.2,Drought-Resistant Plants
13.8,4.7,Berries and Evergreens
33.3,7.9,Drought-Resistant Plants
33.1,8.2,Drought-Resistant Plants
19.2,5.5,Leafy Greens and Root Vegetables
34.3,7.8,Drought-Resistant Plants
34.1,8.3,Drought-Resistant Plants
15.1,6.7,Legumes and Nitrogen-Fixers
19.6,6.4,Leafy Greens and Root Vegetables
11.9,5.3,Berries and Evergreens
33.4,7.6,Drought-Resistant Plants
33.1,8.1,Drought-Resistant Plants
33.3,8.3,Drought-Resistant Plants
15.9,5.8,Leafy Greens and Root Vegetables
33.3,7.8,Drought-Resistant Plants
17.5,6.0,Leafy Greens and Root Vegetables
33.3,8.2,Drought-Resistant Plants
33.1,7.5,Drought-Resistant Plants
33.3,8.6,Drought-Resistant Plants
14.5,6.7,Cool-Season Grains
24.7,7.5,Warm-Season Fruits and Vegetables
32.3,8.1,Drought-Resistant Plants
12.2,5.7,Leafy Greens and Root Vegetables
31.1,8.4,Drought-Resistant Plants
31.3,8.0,Drought-Resistant Plants
26.8,7.0,Herbs and Aromatic Plants
29.5,6.6,Tropical and Wetland Plants
31.3,7.7,Drought-Resistant Plants
31.1,8.4,Drought-Resistant Plants
13.0,6.2,Leafy Greens and Root Vegetables
32.3,8.4,Drought-Resistant Plants
32.1,8.7,Drought-Resistant Plants
16.2,7.5,Stone Fruits
32.1,7.5,Drought-Resistant Plants
32.1,8.9,Drought-Resistant Plants
10.7,5.2,Berries and Evergreens
26.0,6.9,Tropical and Wetland Plants
32.0,8.5,Drought-Resistant Plants
31.3,8.3,Drought-Resistant Plants
18.1,5.9,Leafy Greens and Root Vegetables
20.1,6.9,Warm-Season Fruits and Vegetables
10.2,5.7,Leafy Greens and Root Vegetables
33.1,8.7,Drought-Resistant Plants
32.1,8.7,Drought-Resistant Plants
32.3,8.2,Drought-Resistant Plants
32.1,8.7,Drought-Resistant Plants
28.9,8.5,Drought-Resistant Plants
31.1,8.8,Drought-Resistant Plants
28.2,6.9,Tropical and Wetland Plants
31.3,8.0,Drought-Resistant Plants
29.6,8.1,Drought-Resistant Plants
30.0,8.8,Drought-Resistant Plants
31.3,8.0,Drought-Resistant Plants
10.5,5.0,Berries and Evergreens
31.0,8.3,Drought-Resistant Plants
22.3,5.9,Medicinal Plants
31.1,8.6,Drought-Resistant Plants
26.2,7.5,Herbs and Aromatic Plants
10.1,4.7,Berries and Evergreens
29.3,6.0,Tropical and Wetland Plants
29.1,7.5,Herbs and Aromatic Plants
29.3,7.5,Herbs and Aromatic Plants
29.1,8.9,Drought-Resistant Plants
29.3,6.5,Tropical and Wetland Plants
29.1,7.7,Herbs and Aromatic Plants
31.3,7.5,Drought-Resistant Plants
30.0,8.6,Drought-Resistant Plants
31.0,8.1,Drought-Resistant Plants
29.0,6.3,Tropical and Wetland Plants
29.3,7.4,Herbs and Aromatic Plants
29.0,7.5,Herbs and Aromatic Plants
30.3,7.6,Drought-Resistant Plants
30.0,8.9,Drought-Resistant Plants
32.3,8.8,Drought-Resistant Plants
31.3,8.7,Drought-Resistant Plants
30.0,7.5,Herbs and Aromatic Plants
30.1,8.5,Drought-Resistant Plants
31.0,9.0,Drought-Resistant Plants
30.3,8.1,Drought-Resistant Plants
30.0,8.6,Drought-Resistant Plants
31.3,8.3,Drought-Resistant Plants
26.6,6.2,Tropical and Wetland Plants
31.3,8.6,Drought-Resistant Plants
31.3,8.7,Drought-Resistant Plants
31.3,8.4,Drought-Resistant Plants
27.4,7.4,Herbs and Aromatic Plants
31.0,8.6,Drought-Resistant Plants
25.2,6.0,Tropical and Wetland Plants
30.0,6.8,Tropical and Wetland Plants
29.3,7.7,Herbs and Aromatic Plants
29.0,8.5,Drought-Resistant Plants
28.5,7.8,Herbs and Aromatic Plants
30.0,8.4,Drought-Resistant Plants
29.3,6.8,Tropical and Wetland Plants
29.0,6.6,Tropical and Wetland Plants
29.3,7.2,Herbs and Aromatic Plants
19.2,7.3,Warm-Season Fruits and Vegetables
30.0,6.4,Tropical and Wetland Plants
32.0,8.9,Drought-Resistant Plants
10.0,6.4,Leafy Greens and Root Vegetables
30.3,8.1,Drought-Resistant Plants
30.0,7.6,Herbs and Aromatic Plants
17.2,6.8,Legumes and Nitrogen-Fixers
27.1,6.1,Tropical and Wetland Plants
27.8,6.6,Tropical and Wetland Plants
18.6,6.7,Warm-Season Fruits and Vegetables
32.0,8.3,Drought-Resistant Plants
31.0,7.8,Drought-Resistant Plants
28.5,8.4,Drought-Resistant Plants
31.3,8.2,Drought-Resistant Plants
31.3,7.7,Drought-Resistant Plants
33.0,7.8,Drought-Resistant Plants
32.3,8.8,Drought-Resistant Plants
32.0,8.4,Drought-Resistant Plants
32.3,8.1,Drought-Resistant Plants
32.0,8.4,Drought-Resistant Plants
33.3,8.0,Drought-Resistant Plants
9.6,6.5,Cool-Season Grains
32.3,7.6,Drought-Resistant Plants
32.0,8.4,Drought-Resistant Plants
20.5,6.8,Warm-Season Fruits and Vegetables
33.3,8.6,Drought-Resistant Plants
33.0,8.0,Drought-Resistant Plants
34.0,8.6,Drought-Resistant Plants
32.3,8.3,Drought-Resistant Plants
20.5,6.0,Legumes and Nitrogen-Fixers
31.0,8.5,Drought-Resistant Plants
9.6,6.8,Cool-Season Grains
34.3,8.9,Drought-Resistant Plants
15.2,6.1,Leafy Greens and Root Vegetables
34.0,7.9,Drought-Resistant Plants
25.6,7.8,Herbs and Aromatic Plants
11.5,6.9,Cool-Season Grains
16.3,6.5,Leafy Greens and Root Vegetables
13.0,7.0,Cool-Season Grains
21.5,5.5,Medicinal Plants
32.3,7.5,Drought-Resistant Plants
19.1,6.0,Leafy Greens and Root Vegetables
35.0,8.4,Drought-Resistant Plants
25.8,6.6,Tropical and Wetland Plants
18.7,7.2,Warm-Season Fruits and Vegetables
35.0,8.5,Drought-Resistant Plants
26.8,5.5,Medicinal Plants
34.0,8.7,Drought-Resistant Plants
11.6,6.9,Cool-Season Grains
32.3,7.9,Drought-Resistant Plants
32.0,8.5,Drought-Resistant Plants
22.0,7.9,Herbs and Aromatic Plants
28.6,7.3,Herbs and Aromatic Plants
34.3,8.5,Drought-Resistant Plants
26.4,8.8,Drought-Resistant Plants
20.1,6.5,Warm-Season Fruits and Vegetables
32.3,8.0,Drought-Resistant Plants
32.0,7.5,Drought-Resistant Plants
14.7,4.6,Berries and Evergreens
32.3,7.9,Drought-Resistant Plants
32.0,7.8,Drought-Resistant Plants
25.4,5.6,Medicinal Plants
34.0,8.8,Drought-Resistant Plants
28.1,6.8,Tropical and Wetland Plants
35.0,8.9,Drought-Resistant Plants
21.3,6.6,Warm-Season Fruits and Vegetables
10.8,6.1,Leafy Greens and Root Vegetables
35.0,7.7,Drought-Resistant Plants
28.7,8.6,Drought-Resistant Plants
28.0,6.8,Tropical and Wetland Plants
35.0,7.7,Drought-Resistant Plants
15.1,6.0,Leafy Greens and Root Vegetables
25.6,6.1,Tropical and Wetland Plants
16.1,6.7,Legumes and Nitrogen-Fixers
15.2,7.5,Stone Fruits
18.6,6.1,Leafy Greens and Root Vegetables
14.7,4.7,Berries and Evergreens
29.4,8.0,Herbs and Aromatic Plants
35.0,8.0,Drought-Resistant Plants
13.4,6.9,Cool-Season Grains
19.1,6.3,Leafy Greens and Root Vegetables
28.1,7.9,Herbs and Aromatic Plants
28.7,7.9,Herbs and Aromatic Plants
29.1,8.6,Drought-Resistant Plants
12.6,4.9,Berries and Evergreens
33.0,8.0,Drought-Resistant Plants
17.1,5.8,Leafy Greens and Root Vegetables
25.9,6.3,Tropical and Wetland Plants
21.9,6.9,Warm-Season Fruits and Vegetables
15.0,5.2,Berries and Evergreens
13.8,5.4,Berries and Evergreens
25.2,7.9,Herbs and Aromatic Plants
14.6,5.4,Berries and Evergreens
29.0,7.2,Herbs and Aromatic Plants
21.4,6.0,Legumes and Nitrogen-Fixers
25.0,8.0,Herbs and Aromatic Plants
29.1,7.2,Herbs and Aromatic Plants
29.0,6.2,Tropical and Wetland Plants
27.0,8.4,Drought-Resistant Plants
23.7,6.4,Legumes and Nitrogen-Fixers
